"REF_DATE","GEO","DGUID","Trade flow detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","66","","","","0"
"2014","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","0","","","","0"
"2015","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","0","","","","0"
"2016","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","0","","","","0"
"2017","Prince Edward Island","2016A000211","International exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113670401","3.20.7","0","","","","0"
"2010","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","48005","","","","0"
"2011","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","80314","","","","0"
"2012","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","55186","","","","0"
"2013","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","62475","","","","0"
"2014","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","57670","","","","0"
"2015","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","60077","","","","0"
"2016","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","77793","","","","0"
"2017","Prince Edward Island","2016A000211","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113670402","3.20.8","82852","","","","0"
"2014","Prince Edward Island","2016A000211","International imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v1078935106","3.22.5","0","","","","0"
"2015","Prince Edward Island","2016A000211","International imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v1078935106","3.22.5","0","","","","0"
