Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,17926809,63464,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,2679313,4736,Weight in metric tonne
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,10335444,25500,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,14824867,31690,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,791389,465,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,1294327,739,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,17274856,11103,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,18281429,14007,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,1999031,2902,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,2716837,2320,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,3385546,5413,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,5818041,5055,Weight in metric tonne
1995-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Newfoundland and Labrador,The world,N/A,3665,20,Weight in metric tonne
2002-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,14286,37,Weight in metric tonne
1995-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,22529019,48380,Weight in metric tonne
1998-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,7568306,19813,Weight in metric tonne
2001-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,65602,242,Weight in metric tonne
1991-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,73361,332,Weight in metric tonne
2007-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,6827,20,Weight in metric tonne
2010-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,425985,682,Weight in metric tonne
1999-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,41857,119,Weight in metric tonne
2009-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,53927,154,Weight in metric tonne
2003-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,462546,1081,Weight in metric tonne
1992-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,10909089,49307,Weight in metric tonne
1988-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,18591332,183859,Weight in metric tonne
1989-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,31252733,148594,Weight in metric tonne
1993-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,19546767,104154,Weight in metric tonne
2003-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,13663180,57497,Weight in metric tonne
